Timestamp,pH,Dissolved Oxygen,Turbidity
2024-06-24T08:50:00.000+05:30,8.187,7.266,2.902
2024-06-24T09:00:00.000+05:30,8.196,7.343,2.94
2024-06-24T09:00:00.000+05:30,8.196,7.343,2.94
2024-06-24T09:10:00.000+05:30,8.19,7.332,2.981
2024-06-24T09:20:00.000+05:30,8.178,7.057,2.793
2024-06-24T09:30:00.000+05:30,8.177,7.074,2.974
2024-06-24T09:40:00.000+05:30,8.176,7.141,3.223
2024-06-24T09:50:00.000+05:30,8.183,7.234,3.153
2024-06-24T10:00:00.000+05:30,8.193,7.417,3.214
2024-06-24T10:10:00.000+05:30,8.203,7.6,3.154
2024-06-24T10:20:00.000+05:30,8.21,7.679,3.073
2024-06-24T10:30:00.000+05:30,8.209,7.639,3.066
2024-06-24T10:40:00.000+05:30,8.21,7.74,3.096
2024-06-24T10:50:00.000+05:30,8.208,7.638,3.183
2024-06-24T11:00:00.000+05:30,8.2,7.567,2.998
2024-06-24T11:10:00.000+05:30,8.202,7.633,2.787
2024-06-24T11:20:00.000+05:30,8.21,7.833,2.794
2024-06-24T11:30:00.000+05:30,8.206,7.722,2.823
2024-06-24T11:40:00.000+05:30,8.198,7.614,2.817
2024-06-24T11:50:00.000+05:30,8.2,7.653,2.899
2024-06-24T12:00:00.000+05:30,8.206,7.82,3.456
2024-06-24T12:10:00.000+05:30,8.207,7.822,3.019
2024-06-24T12:20:00.000+05:30,8.21,7.871,3.011
2024-06-24T12:30:00.000+05:30,8.209,7.839,2.955
2024-06-24T12:40:00.000+05:30,8.209,7.904,2.871
2024-06-24T12:50:00.000+05:30,8.204,7.736,2.76
2024-06-24T13:00:00.000+05:30,8.205,7.793,2.728
2024-06-24T13:10:00.000+05:30,8.203,7.726,3.038
2024-06-24T13:20:00.000+05:30,8.215,7.913,2.781
2024-06-24T13:30:00.000+05:30,8.205,7.817,2.659
2024-06-24T13:40:00.000+05:30,8.203,7.821,2.649
2024-06-24T13:50:00.000+05:30,8.195,7.711,2.666
2024-06-24T14:00:00.000+05:30,8.193,7.703,2.8
2024-06-24T14:10:00.000+05:30,8.196,7.735,2.779
2024-06-24T14:20:00.000+05:30,8.191,7.705,2.709
2024-06-24T14:30:00.000+05:30,8.185,7.673,2.629
2024-06-24T14:40:00.000+05:30,8.175,7.396,2.695
2024-06-24T14:50:00.000+05:30,8.168,7.449,3.001
2024-06-24T15:00:00.000+05:30,8.156,7.229,2.972
2024-06-24T15:10:00.000+05:30,8.164,7.353,3.292
2024-06-24T15:20:00.000+05:30,8.176,7.627,3.321
2024-06-24T15:30:00.000+05:30,8.163,7.327,2.863
2024-06-24T15:40:00.000+05:30,8.161,7.413,2.618
2024-06-24T15:50:00.000+05:30,8.164,7.352,2.577
2024-06-24T16:00:00.000+05:30,8.154,7.377,2.956
2024-06-24T16:10:00.000+05:30,8.148,7.09,2.532
2024-06-24T16:20:00.000+05:30,8.139,7.206,2.605
2024-06-24T16:30:00.000+05:30,8.154,7.203,2.74
2024-06-24T16:40:00.000+05:30,8.15,7.136,2.8
2024-06-24T16:50:00.000+05:30,8.161,7.331,2.83
2024-06-24T17:00:00.000+05:30,8.169,7.609,2.851
2024-06-24T17:10:00.000+05:30,8.161,7.344,3.025
2024-06-24T17:20:00.000+05:30,8.132,7.26,2.801
2024-06-24T17:30:00.000+05:30,8.129,6.781,2.992
2024-06-24T17:40:00.000+05:30,8.14,6.683,2.572
2024-06-24T17:50:00.000+05:30,8.138,6.85,2.534
2024-06-24T18:00:00.000+05:30,8.145,7.119,2.73
2024-06-24T18:10:00.000+05:30,8.172,7.628,3.503
2024-06-24T18:20:00.000+05:30,8.176,7.819,3.043
2024-06-24T18:30:00.000+05:30,8.179,7.723,2.833
2024-06-24T18:40:00.000+05:30,8.184,7.814,2.846
2024-06-24T18:50:00.000+05:30,8.188,7.786,2.746
2024-06-24T19:00:00.000+05:30,8.184,7.814,2.925
2024-06-24T19:10:00.000+05:30,8.186,7.774,2.821
2024-06-24T19:20:00.000+05:30,8.192,7.856,2.842
2024-06-24T19:30:00.000+05:30,8.205,8.002,2.849
2024-06-24T19:40:00.000+05:30,8.209,8.001,3.044
2024-06-24T19:50:00.000+05:30,8.21,8.009,2.849
2024-06-24T20:00:00.000+05:30,8.224,8.272,
2024-06-24T20:10:00.000+05:30,8.219,8.092,3.116
2024-06-24T20:20:00.000+05:30,8.208,7.986,3.043
2024-06-24T20:30:00.000+05:30,8.207,7.931,3.382
2024-06-24T20:40:00.000+05:30,8.207,7.894,3.281
2024-06-24T20:50:00.000+05:30,8.205,7.829,2.775
2024-06-24T21:00:00.000+05:30,8.211,7.9,2.869
2024-06-24T21:10:00.000+05:30,8.213,7.898,2.741
2024-06-24T21:20:00.000+05:30,8.215,7.852,2.856
2024-06-24T21:30:00.000+05:30,8.213,7.811,2.774
2024-06-24T21:40:00.000+05:30,8.211,7.807,2.916
2024-06-24T21:50:00.000+05:30,8.216,7.836,2.89
2024-06-24T22:00:00.000+05:30,8.216,7.861,3.03
2024-06-24T22:10:00.000+05:30,8.213,7.815,2.991
2024-06-24T22:20:00.000+05:30,8.206,7.658,3.258
2024-06-24T22:30:00.000+05:30,8.196,7.508,2.906
2024-06-24T22:40:00.000+05:30,8.194,7.393,2.772
2024-06-24T22:50:00.000+05:30,8.184,7.295,2.903
2024-06-24T23:00:00.000+05:30,8.187,7.394,2.768
2024-06-24T23:10:00.000+05:30,8.196,7.548,3.113
2024-06-24T23:20:00.000+05:30,8.17,7.102,2.766
2024-06-24T23:30:00.000+05:30,8.163,6.985,3.002
2024-06-24T23:40:00.000+05:30,8.146,7.138,2.82
2024-06-24T23:50:00.000+05:30,8.152,6.784,2.739
2024-06-25T00:00:00.000+05:30,8.141,6.601,2.729
2024-06-25T00:10:00.000+05:30,8.154,6.814,2.735
2024-06-25T00:20:00.000+05:30,8.159,6.917,2.684
2024-06-25T00:30:00.000+05:30,8.152,6.681,2.663
2024-06-25T00:40:00.000+05:30,8.153,6.357,2.777
2024-06-25T00:50:00.000+05:30,8.16,6.721,2.935
2024-06-25T01:00:00.000+05:30,8.169,6.482,2.979
2024-06-25T01:10:00.000+05:30,8.163,6.939,3.071
2024-06-25T01:20:00.000+05:30,8.176,7.081,3.009
2024-06-25T01:30:00.000+05:30,8.176,7.186,2.739
2024-06-25T01:40:00.000+05:30,8.161,7.35,2.667
2024-06-25T01:50:00.000+05:30,8.191,7.329,2.936
2024-06-25T02:00:00.000+05:30,8.183,6.798,2.744
2024-06-25T02:10:00.000+05:30,8.171,7.046,3.328
2024-06-25T02:20:00.000+05:30,8.187,7.103,3.03
2024-06-25T02:30:00.000+05:30,8.203,7.555,3.112
2024-06-25T02:40:00.000+05:30,8.18,7.31,3.006
2024-06-25T02:50:00.000+05:30,8.18,7.205,2.845
2024-06-25T03:00:00.000+05:30,8.157,6.816,2.717
2024-06-25T03:10:00.000+05:30,8.163,6.818,2.792
2024-06-25T03:20:00.000+05:30,8.161,6.724,2.775
2024-06-25T03:30:00.000+05:30,8.166,6.958,2.901
2024-06-25T03:40:00.000+05:30,8.167,6.874,2.803
2024-06-25T03:50:00.000+05:30,8.166,6.924,2.977
2024-06-25T04:00:00.000+05:30,8.163,6.773,2.916
